project_id,n_tasks,n_employees,n_dependencies,det_duration_days,p10,p50,p90,schedule_risk_ratio,det_vs_p50_delta,critical_path_tasks,avg_employee_efficiency,mc_success,error_msg
synth_1,7,13,5,76,65,75,87,0.16,-1,3,0.9951,True,
synth_2,25,4,10,120,97,113,126,0.115,-7,3,1.065,True,
synth_3,8,3,3,57,54,58,61,0.0517,1,2,0.9075,True,
synth_4,15,6,8,67,64,71,80,0.1268,4,2,1.0112,True,
synth_5,29,10,15,97,88,99,109,0.101,2,3,0.98,True,
synth_6,14,5,15,162,150,162,174,0.0741,0,5,0.8657,True,
synth_7,8,5,6,65,57,65,73,0.1231,0,2,0.916,True,
synth_8,8,13,4,71,62,70,78,0.1143,-1,2,1.0745,True,
synth_9,28,11,5,79,68,79,89,0.1266,0,3,0.9922,True,
synth_10,25,14,10,94,79,88,98,0.1136,-6,3,0.9292,True,
synth_11,20,14,5,75,65,73,82,0.1233,-2,3,0.9633,True,
synth_12,23,11,9,99,88,98,108,0.102,-1,4,0.9027,True,
synth_13,9,10,4,55,43,53,63,0.1887,-2,3,0.9858,True,
synth_14,14,6,6,103,95,107,120,0.1215,4,4,1.0722,True,
synth_15,19,6,6,67,64,72,80,0.1111,5,2,0.9815,True,
synth_16,21,10,14,140,121,134,146,0.0896,-6,4,1.0208,True,
synth_17,6,7,6,64,54,62,67,0.0806,-2,3,0.954,True,
synth_18,25,12,10,66,57,67,80,0.194,1,4,1.0214,True,
synth_19,7,13,6,82,74,80,85,0.0625,-2,3,0.9402,True,
synth_20,13,12,6,53,48,53,59,0.1132,0,2,0.9949,True,
synth_21,27,3,29,148,139,151,164,0.0861,3,5,0.8683,True,
synth_22,14,9,9,110,94,105,114,0.0857,-5,4,1.0078,True,
synth_23,24,13,17,94,86,93,99,0.0645,-1,3,0.9783,True,
synth_24,30,14,17,94,87,95,103,0.0842,1,3,1.0195,True,
synth_25,30,9,3,71,62,70,77,0.1,-1,2,0.9606,True,
synth_26,27,8,31,155,138,153,167,0.0915,-2,6,0.9924,True,
synth_27,27,15,22,144,135,146,157,0.0753,2,5,1.0277,True,
synth_28,29,4,5,102,88,97,106,0.0928,-5,3,1.2842,True,
synth_29,10,3,7,128,111,123,135,0.0976,-5,4,1.0456,True,
synth_30,20,6,3,124,101,118,130,0.1017,-6,3,1.0746,True,
synth_31,18,12,20,152,128,143,156,0.0909,-9,5,1.1014,True,
synth_32,13,7,8,163,133,151,167,0.106,-12,6,0.9771,True,
synth_33,21,12,3,77,58,72,82,0.1389,-5,2,0.9662,True,
