project_id,task_id,planned_optimistic,planned_likely,planned_pessimistic,criticality,cost,num_required_skills,num_assigned,assigned_avg_efficiency,assigned_total_load,num_predecessors,num_successors,actual_duration,primary_slowdown,primary_overload,primary_min_efficiency,primary_miss_ratio,assigned_avg_miss_ratio,assigned_min_efficiency
0,0,11,18,20,1,1718.0,2,1,0.585,3.2,0,1,42.91666666666667,2.5,0.0,0.2,0.5,0.5,0.2
0,1,13,21,21,1,541.68,2,2,0.6950000000000001,12.5,0,0,49.16666666666667,2.5,0.0,0.2,0.5,0.5,0.2
0,2,28,29,30,5,988.13,3,1,0.5066666666666667,9.2,0,0,77.33333333333333,2.6666666666666665,1.7982954040279946,0.2,0.6666666666666666,0.6666666666666666,0.2
0,3,24,24,25,3,1991.67,3,3,0.498888888888889,12.7,1,0,64.44444444444444,2.6666666666666665,0.9925978915149383,0.2,0.6666666666666666,0.5555555555555555,0.2
0,4,24,24,25,5,1269.59,1,1,1.12,9.2,0,0,23.517506202262346,0.9731381876798212,1.7982954040279946,1.12,0.0,0.0,1.12
0,5,14,16,21,1,339.76,2,3,0.6350000000000001,12.6,0,0,41.25,2.5,0.0,0.2,0.5,0.5,0.2
0,6,2,7,21,5,1499.76,1,1,1.03,5.4,0,0,8.661994275625096,1.0190581500735407,0.9925978915149383,1.03,0.0,0.0,1.03
1,0,12,22,30,4,1171.56,3,1,0.59,10.7,0,4,57.77777777777778,2.6666666666666665,0.0,0.2,0.6666666666666666,0.6666666666666666,0.2
1,1,21,28,28,3,122.33,1,1,0.96,8.2,0,6,32.71505051880157,1.2191944292721082,3.4085330420244757,0.96,0.0,0.0,0.96
1,2,9,26,29,5,815.65,2,2,0.45999999999999996,19.1,0,4,59.16666666666667,2.5,0.0,0.2,0.5,0.5,0.2
1,3,28,28,28,3,456.85,3,3,0.5166666666666667,31.1,1,3,74.66666666666666,2.6666666666666665,0.0,0.2,0.6666666666666666,0.5555555555555555,0.2
1,4,19,26,29,1,1537.87,3,3,0.5144444444444445,33.6,1,6,67.55555555555554,2.6666666666666665,2.2605684053513038,0.2,0.6666666666666666,0.6666666666666666,0.2
1,5,7,13,28,5,1836.57,1,1,0.81,8.2,2,7,20.95208204378734,1.4449711754336096,3.4085330420244757,0.81,0.0,0.0,0.81
1,6,15,15,30,4,1286.45,3,2,0.745,12.7,3,2,46.666666666666664,2.6666666666666665,3.4085330420244757,0.2,0.6666666666666666,0.5,0.2
1,7,10,26,30,2,281.68,2,2,0.5975,21.5,3,3,60.0,2.5,0.8787424545907383,0.2,0.5,0.5,0.2
1,8,28,28,29,1,1846.28,1,3,0.9866666666666667,20.200000000000003,2,5,27.887788778877887,0.9900990099009901,0.0,1.01,0.0,0.0,0.62
1,9,14,21,27,5,1005.61,2,3,0.6933333333333334,27.799999999999997,3,0,52.08333333333333,2.5,2.2605684053513038,0.2,0.5,0.5,0.2
1,10,16,26,28,3,229.13,1,1,1.19,7.9,3,3,20.72829131652661,0.8403361344537815,0.0,1.19,0.0,0.0,1.19
1,11,3,20,27,1,1724.74,2,3,0.77,33.7,2,3,45.83333333333333,2.5,0.0,0.2,0.5,0.3333333333333333,0.2
