project_id,n_tasks,n_employees,n_dependencies,det_duration_days,p10,p50,p90,schedule_risk_ratio,det_vs_p50_delta,critical_path_tasks,avg_employee_efficiency,mc_success,error_msg
synth_1,5,13,6,101,90,103,116,0.1262,2,4,0.9951,True,
synth_2,28,7,12,138,114,128,146,0.1406,-10,3,0.9643,True,
synth_3,15,5,10,155,145,160,178,0.1125,5,4,0.9125,True,
synth_4,4,12,3,37,35,40,45,0.125,3,2,0.9731,True,
synth_5,4,15,5,42,37,45,57,0.2667,3,3,1.0627,True,
synth_6,29,5,35,366,346,370,395,0.0676,4,5,0.9418,True,
synth_7,17,10,9,110,98,107,115,0.0748,-3,3,0.9837,True,
synth_8,29,10,15,147,136,147,158,0.0748,0,3,1.1302,True,
synth_9,7,9,3,93,74,87,99,0.1379,-6,3,1.0271,True,
synth_10,6,8,7,86,77,84,90,0.0714,-2,4,1.1007,True,
synth_11,25,8,16,138,125,136,149,0.0956,-2,2,1.0177,True,
synth_12,8,6,5,103,94,103,111,0.0777,0,4,1.0286,True,
synth_13,6,15,3,52,50,56,64,0.1429,4,2,0.9648,True,
synth_14,19,12,13,99,79,95,110,0.1579,-4,4,0.9452,True,
synth_15,30,11,15,168,137,157,176,0.121,-11,3,1.0023,True,
synth_16,8,3,7,157,139,158,175,0.1076,1,4,0.86,True,
synth_17,25,10,8,105,99,107,116,0.0841,2,2,1.0807,True,
synth_18,19,9,12,167,153,167,179,0.0719,0,3,1.0275,True,
synth_19,27,11,17,131,122,134,145,0.0821,3,3,0.9939,True,
synth_20,23,4,6,178,155,175,192,0.0971,-3,2,0.9844,True,
synth_21,21,3,3,201,151,188,222,0.1809,-13,2,0.9467,True,
synth_22,7,8,3,89,66,82,94,0.1463,-7,3,0.9598,True,
synth_23,23,12,10,116,97,113,129,0.1416,-3,3,1.0381,True,
synth_24,7,12,8,82,65,79,90,0.1392,-3,3,1.0695,True,
synth_25,4,11,3,73,61,70,78,0.1143,-3,3,0.9811,True,
synth_26,15,4,19,218,187,212,234,0.1038,-6,5,1.0462,True,
